,CensusTract,County,LILATracts_1And10,Urban,Rural,laseniors20share,lakids20share,lahunv20share,POP2010,pop_in_des
3645,6001408300,Alameda,0,1,0,0.0,0.0,0.0,4167,0
3646,6001408400,Alameda,0,1,0,0.0,0.0,0.0,3323,0
3647,6001408500,Alameda,0,1,0,0.0,0.0,0.0,4972,0
3648,6001408600,Alameda,0,1,0,0.0,0.0,0.0,5492,0
3649,6001408700,Alameda,0,1,0,0.0,0.0,0.0,7207,0
3650,6001408800,Alameda,0,1,0,0.0,0.0,0.0,5547,0
3651,6001408900,Alameda,0,1,0,0.0,0.0,0.0,3414,0
3652,6001409000,Alameda,0,1,0,0.0,0.0,0.0,3552,0
3653,6001409100,Alameda,0,1,0,0.0,0.0,0.0,2255,0
3654,6001409200,Alameda,1,1,0,0.0,0.0,0.0,3152,3152
3655,6001409300,Alameda,0,1,0,0.0,0.0,0.0,5229,0
3656,6001409400,Alameda,0,1,0,0.0,0.0,0.0,4306,0
3657,6001409500,Alameda,0,1,0,0.0,0.0,0.0,3122,0
3658,6001409600,Alameda,0,1,0,0.0,0.0,0.0,5063,0
3659,6001409700,Alameda,0,1,0,0.0,0.0,0.0,4696,0
3660,6001409800,Alameda,1,1,0,0.0,0.0,0.0,2887,2887
3661,6001409900,Alameda,0,1,0,0.0,0.0,0.0,3308,0
3662,6001410000,Alameda,0,1,0,0.0,0.0,0.0,2805,0
3663,6001410100,Alameda,0,1,0,0.0,0.0,0.0,2406,0
3664,6001410200,Alameda,0,1,0,0.0,0.0,0.0,3062,0
3665,6001410300,Alameda,0,1,0,0.0,0.0,0.0,3536,0
3666,6001410400,Alameda,0,1,0,0.0,0.0,0.0,3792,0
3667,6001410500,Alameda,0,1,0,0.0,0.0,0.0,2193,0
3668,6001420100,Alameda,0,1,0,0.0,0.0,0.0,2355,0
3669,6001420200,Alameda,0,1,0,0.0,0.0,0.0,2898,0
3670,6001420300,Alameda,0,1,0,0.0,0.0,0.0,4571,0
3671,6001420400,Alameda,0,1,0,0.0,0.0,0.0,3124,0
3672,6001420500,Alameda,0,1,0,0.0,0.0,0.0,2308,0
3673,6001420600,Alameda,0,1,0,0.0,0.0,0.0,3283,0
3674,6001421100,Alameda,0,1,0,0.0,0.0,0.0,1992,0
3675,6001421200,Alameda,0,1,0,0.0,0.0,0.0,3563,0
3676,6001421300,Alameda,0,1,0,0.0,0.0,0.0,3844,0
3677,6001421400,Alameda,0,1,0,0.0,0.0,0.0,1593,0
3678,6001421500,Alameda,0,1,0,0.0,0.0,0.0,3640,0
3679,6001421600,Alameda,0,1,0,0.0,0.0,0.0,3558,0
3680,6001421700,Alameda,0,1,0,0.0,0.0,0.0,3198,0
3681,6001421800,Alameda,0,1,0,0.0,0.0,0.0,2007,0
3682,6001421900,Alameda,0,1,0,0.0,0.0,0.0,3632,0
3683,6001422000,Alameda,0,1,0,0.0,0.0,0.0,1756,0
3684,6001422100,Alameda,0,1,0,0.0,0.0,0.0,2685,0
3685,6001422200,Alameda,0,1,0,0.0,0.0,0.0,3144,0
3686,6001422300,Alameda,0,1,0,0.0,0.0,0.0,3387,0
3687,6001422400,Alameda,0,1,0,0.0,0.0,0.0,4196,0
3688,6001422500,Alameda,0,1,0,0.0,0.0,0.0,4658,0
3689,6001422600,Alameda,0,1,0,0.0,0.0,0.0,1215,0
3690,6001422700,Alameda,0,1,0,0.0,0.0,0.0,4885,0
3691,6001422800,Alameda,0,1,0,0.0,0.0,0.0,8368,0
3692,6001422900,Alameda,0,1,0,0.0,0.0,0.0,4336,0
3693,6001423000,Alameda,0,1,0,0.0,0.0,0.0,4396,0
3694,6001423100,Alameda,0,1,0,0.0,0.0,0.0,3964,0
3695,6001423200,Alameda,0,1,0,0.0,0.0,0.0,2794,0
3696,6001423300,Alameda,0,1,0,0.0,0.0,0.0,3647,0
3697,6001423400,Alameda,0,1,0,0.0,0.0,0.0,4685,0
3698,6001423500,Alameda,0,1,0,0.0,0.0,0.0,3118,0
3699,6001423601,Alameda,0,1,0,0.0,0.0,0.0,2642,0
3700,6001423602,Alameda,0,1,0,0.0,0.0,0.0,5659,0
3701,6001423700,Alameda,0,1,0,0.0,0.0,0.0,3633,0
3702,6001423800,Alameda,0,1,0,0.0,0.0,0.0,2925,0
3703,6001423901,Alameda,0,1,0,0.0,0.0,0.0,2020,0
3704,6001423902,Alameda,0,1,0,0.0,0.0,0.0,1552,0
3705,6001424001,Alameda,0,1,0,0.0,0.0,0.0,3716,0
3706,6001424002,Alameda,0,1,0,0.0,0.0,0.0,2172,0
3707,6001425101,Alameda,0,1,0,0.0,0.0,0.0,1596,0
3708,6001425102,Alameda,0,1,0,0.0,0.0,0.0,2807,0
3709,6001425103,Alameda,0,1,0,0.0,0.0,0.0,2502,0
3710,6001425104,Alameda,0,1,0,0.0,0.0,0.0,3175,0
3711,6001426100,Alameda,0,1,0,0.0,0.0,0.0,5922,0
3712,6001426200,Alameda,0,1,0,0.0,0.0,0.0,4745,0
3713,6001427100,Alameda,0,1,0,0.0,0.0,0.0,3646,0
3714,6001427200,Alameda,0,1,0,0.0,0.0,0.0,4107,0
3715,6001427300,Alameda,0,1,0,0.0,0.0,0.0,4896,0
3716,6001427600,Alameda,0,1,0,0.0,0.0,0.0,4722,0
3717,6001427700,Alameda,0,1,0,0.0,0.0,0.0,4866,0
3718,6001427800,Alameda,0,1,0,0.0,0.0,0.0,4640,0
3719,6001427900,Alameda,0,1,0,0.0,0.0,0.0,4567,0
3720,6001428000,Alameda,0,1,0,0.0,0.0,0.0,2928,0
3721,6001428100,Alameda,0,1,0,0.0,0.0,0.0,4651,0
3722,6001428200,Alameda,0,1,0,0.0,0.0,0.0,6259,0
3723,6001428301,Alameda,0,1,0,0.0,0.0,0.0,6526,0
3724,6001428302,Alameda,0,1,0,0.0,0.0,0.0,7074,0
3725,6001428400,Alameda,0,1,0,0.0,0.0,0.0,4357,0
3726,6001428500,Alameda,0,1,0,0.0,0.0,0.0,3183,0
3727,6001428600,Alameda,0,1,0,0.0,0.0,0.0,3271,0
3728,6001428700,Alameda,0,1,0,0.0,0.0,0.0,4119,0
3729,6001430101,Alameda,0,1,0,0.0,0.0,0.0,6523,0
3730,6001430102,Alameda,0,0,1,0.0,0.0,0.0,2285,0
3731,6001430200,Alameda,0,1,0,0.0,0.0,0.0,6916,0
3732,6001430300,Alameda,0,1,0,0.0,0.0,0.0,3670,0
3733,6001430400,Alameda,0,1,0,0.0,0.0,0.0,2046,0
