,State,County,POP2010,food_deserts,pop_in_des,perc_lila,n_tracts,urban_des,rural_des,n_urban,n_rural,des_percent,LowIncomeTracts,low_vehicle_tracts,total_housing_units,pop_in_group_housing,pop_LILA,state_pop_ratio,state_tract_ratio,cnty_obesity_pct_adj,cnty_dm_pct_adj,cnty_inactive_pct_adj,Adolescent_births,ABR,p_hs_edatt,PC_PHYS_R,DENTIST_R,PSYCH_R,PCT_HSPNC,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_AMIND_ESK,PCT_ISLANDER,PCT_MULTI,PCT_OTHER,PCT_65OVER,PCT_18_64,PCT_UNDR18,PCT_UNDER5,unemployment_rate,n_hospitals,mort_30_ami,mort_30_cabg,mort_30_copd,mort_30_hf,mort_30_pn,mort_30_stk,readm_30_ami,readm_30_cabg,readm_30_copd,readm_30_hf,readm_30_hip_knee,readm_30_hosp_wide,readm_30_pn,readm_30_stk,Chlamydia,Tuberculosis,Gonorrhea,HIV,senior_flu_deaths,Measles,Mumps,Pertussis,Rubella,varicella_hospitalizations,Salmonellosis,ecoli_hem,ecoli_nonhem,syphilis,botulism_dtfood,std,vaccine_dx,food_dx,opiods_rx_1000,opiods_greater_than_stateavg,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,PCH_FFR_07_12,FFR07,FFR12,pop2010_in_des
18,CA,Los Angeles,9818605,65,283107.0,0.017967920654,2334,65.0,0.0,2293,41,0.0278491859469,1137,210,3241204,171681.0,176420,0.263558721119,0.290877367896,0.212,0.078,0.181,30912.0,0.263632653061,0.759,3190.98131313,3496.45808081,22955.9669697,0.465351515152,0.545477777778,0.0963323232323,0.141304040404,0.012002020202,0.00434646464646,0.0315949494949,0.234583838384,0.104801010101,0.64218989899,0.25301010101,0.0671383838384,0.0864274114972,1134.0,0.133586206897,0.03076,0.0685322580645,0.0973134328358,0.10047761194,0.133339285714,0.172781818182,0.1504,0.199142857143,0.226268656716,0.0467272727273,0.155067567568,0.170455882353,0.132982142857,485.629068488,7.35338675912,102.071526454,22.0601602774,0.0407389848151,0.0814779696301,0.203694924075,14.2077209542,0.0,0.203694924075,12.2624344293,0.16295593926,0.356466117132,16.8353854748,0.0,626.596140694,22.090714516,29.6172419605,419.64,0,1.019708,1.102873,0.8553471,6.49477351916,7175.0,7641,283107.0
19,CA,Madera,150865,2,20085.0,0.21315076554,23,2.0,0.0,10,13,0.0869565217391,16,3,43317,8624.0,32157,0.0040496370372,0.00286640079761,0.295,0.088,0.185,845.0,0.397,0.678,1547.38666667,2216.70333333,0.0,0.394033333333,0.837233333333,0.0501333333333,0.0205333333333,0.0432666666667,0.0027,0.0492333333333,0.0967333333333,0.126566666667,0.623733333333,0.249666666667,0.0679,0.122758064516,14.0,0.15,0.0,0.103,0.148,0.155,0.17,0.181,0.0,0.207,0.225,0.048,0.155,0.163,0.138,465.316673847,1.98853279422,55.0160739734,7.29128691214,0.0,0.0,0.0,79.5413117688,0.0,0.0,11.2683525006,0.66284426474,0.0,0.0,0.0,527.624034733,81.529844563,11.9311967653,668.3,1,0.9964433,1.130546,0.8153738,13.2352941176,68.0,77,20085.0
20,CA,Marin,252409,1,5625.0,0.0372854967073,55,1.0,0.0,48,7,0.0181818181818,4,3,103210,9044.0,9411,0.00677536098448,0.00685443668993,0.15,0.046,0.104,196.0,0.086,0.919,1273.585,1685.625,1748.775,0.1326,0.846525,0.032825,0.06505,0.00815,0.005,0.030575,0.0755,0.15855,0.63845,0.202975,0.0557,0.0577543859649,42.0,0.117,0.026,0.0765,0.126,0.11,0.147,0.161,0.156,0.192,0.2245,0.05,0.154333333333,0.1605,0.12,241.275073393,4.35800625176,26.1480375105,11.0931068227,0.0,0.0,0.0,139.06001767,0.0,0.0,12.6778363688,2.77327670566,0.0,3.56564147871,0.0,282.081859205,143.418023921,19.0167545531,696.46,1,1.122215,1.164422,0.8915755,7.86516853933,178.0,192,5625.0
21,CA,Mariposa,18251,0,0.0,0.282523627164,6,0.0,0.0,0,6,0.0,2,1,7693,725.0,5156,0.000489907702688,0.000747756729811,0.234,0.071,0.187,39.0,0.1275,0.81668627451,934.89,2133.335,0.0,0.1201,0.8702,0.0324,0.0481,0.0503,0.002,0.03085,0.0278,0.1233,0.7337,0.143,0.0265,0.107565217391,14.0,0.0,0.0,0.079,0.0,0.115,0.0,0.0,0.0,0.195,0.0,0.0,0.153,0.167,0.0,109.583036546,0.0,5.4791518273,5.4791518273,0.0,0.0,0.0,54.791518273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.541340201,54.791518273,0.0,1106.68,1,0.9964433,1.130546,0.8153738,-36.3636363636,11.0,7,
22,CA,Mendocino,87841,5,21705.0,0.25582653191,20,2.0,3.0,8,12,0.25,12,2,34945,2044.0,22472,0.00235789723915,0.0024925224327,0.246,0.066,0.18,271.0,0.361,0.841,1441.09166667,1315.06166667,3038.00666667,0.188583333333,0.845083333333,0.011325,0.025875,0.0894833333333,0.00224166666667,0.03185,0.0585333333333,0.151225,0.632591666667,0.2162,0.055425,0.08575,42.0,0.148,0.0,0.0803333333333,0.136666666667,0.12,0.159333333333,0.0,0.0,0.195333333333,0.214,0.049,0.145333333333,0.157333333333,0.126,295.989344384,0.0,17.0763083298,1.13842055532,0.0,0.0,0.0,30.7373549937,0.0,0.0,14.7994672192,1.13842055532,0.0,0.0,0.0,314.204073269,30.7373549937,15.9378877745,1363.34,1,1.122215,1.164422,0.8915755,-16.9230769231,65.0,54,21705.0
23,CA,Merced,255793,10,56432.0,0.158033079121,49,10.0,0.0,36,13,0.204081632653,34,14,75642,4896.0,40424,0.00686619697516,0.00610667996012,0.311,0.082,0.189,1415.0,0.4245,0.669,2258.94333333,5483.35,19784.7783333,0.588933333333,0.65705,0.0389833333333,0.0781833333333,0.0182666666667,0.00396666666667,0.0271166666667,0.23255,0.0866833333333,0.592366666667,0.320966666667,0.0882166666667,0.135834782609,28.0,0.156,0.0,0.085,0.132,0.1275,0.16,0.161,0.0,0.216,0.2225,0.042,0.154,0.174,0.115,388.986406978,2.34564667524,29.7115245531,7.42788113826,0.0,0.0,0.0,51.2132857428,0.0,0.0,12.1191744887,0.78188222508,0.39094111254,2.73658778778,0.0,428.862400457,53.558932418,16.0285856141,658.96,1,0.9964433,1.130546,0.8153738,7.5,120.0,129,56432.0
24,CA,Modoc,9686,3,6168.0,0.351603535349,4,0.0,3.0,1,3,0.75,4,1,4064,357.0,3406,0.00025999923337,0.00049850448654,0.248,0.068,0.188,10.0,0.161,0.81668627451,336.333333333,718.286666667,0.0,0.1458,0.901333333333,0.00606666666667,0.0146333333333,0.0474,0.00543333333333,0.0161666666667,0.0413666666667,0.203233333333,0.575833333333,0.220966666667,0.0632666666667,0.119818181818,28.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,10.3241792278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3241792278,0.0,0.0,1321.18,1,0.9964433,1.130546,0.8153738,16.6666666667,6.0,7,6168.0
25,CA,Mono,14202,0,0.0,0.135750158263,3,0.0,0.0,1,2,0.0,0,1,5768,222.0,1928,0.000381221258757,0.000373878364905,0.205,0.066,0.127,23.0,0.179,0.81668627451,1908.64,1007.75,0.0,0.23225,0.84875,0.0117,0.0026,0.06695,0.00905,0.0236,0.08735,0.08505,0.70325,0.2117,0.06785,0.0627222222222,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.153,0.0,0.0,211.237853823,0.0,14.0825235882,0.0,0.0,0.0,0.0,126.742712294,0.0,0.0,7.04126179411,0.0,0.0,0.0,0.0,225.320377412,126.742712294,7.04126179411,420.4,0,1.032918,1.089488,0.8770728,0.0,19.0,19,
26,CA,Monterey,415057,7,34378.0,0.0609473257061,93,6.0,1.0,77,16,0.0752688172043,36,9,125946,18702.0,25297,0.0111412865791,0.0115902293121,0.227,0.07,0.154,2128.0,0.35925,0.708,2363.035,4363.465,4488.01875,0.4719875,0.7830125,0.0301125,0.05675,0.022975,0.0111625,0.0337125,0.1369125,0.097925,0.646125,0.2559375,0.074225,0.0973473684211,56.0,0.128,0.0295,0.072,0.11475,0.13,0.135666666667,0.1585,0.144,0.2095,0.20275,0.0475,0.14575,0.161,0.123,343.567269074,5.05954603825,19.5153918618,5.54140756571,0.0,0.0,0.0,31.8028608119,0.0,0.0,12.7693304775,0.481861527453,0.0,3.13209992844,0.0,371.75616843,36.8624068501,16.3832919334,586.22,0,0.9964433,1.130546,0.8153738,9.38775510204,245.0,268,34378.0
27,CA,Napa,136484,0,0.0,0.0487249610762,40,0.0,0.0,31,9,0.0,11,2,48876,4918.0,6650,0.0036636109196,0.0049850448654,0.234,0.063,0.137,301.0,0.223,0.825,1643.25,2423.21333333,3442.78666667,0.28405,0.838016666667,0.0224666666667,0.0801833333333,0.0179,0.00515,0.02595,0.0637,0.157,0.624216666667,0.218783333333,0.0586333333333,0.0670547945205,28.0,0.146,0.0325,0.0685,0.107,0.1115,0.147,0.169,0.159,0.2075,0.226,0.0515,0.142,0.161,0.125,194.894639665,4.39611969169,20.5152252279,5.12880630697,0.0,0.0,0.0,18.317165382,0.0,0.732686615281,9.52492599865,2.19805984584,0.0,2.19805984584,0.0,222.736731045,23.445971689,13.9210456903,800.72,1,1.122215,1.164422,0.8915755,22.8571428571,70.0,86,
